time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
2.600000,none,3,18.882183,0.000000,0.300000,0.002667
2.800000,3,none,0.000000,0.500000,0.000000,0.000000
2.900000,none,3,17.486092,0.000000,0.300000,0.002667
3.200000,3,none,0.000000,0.500000,0.000000,0.000000
4.100000,none,4,18.055607,0.000000,0.300000,0.002667
4.200000,4,none,0.000000,0.500000,0.000000,0.000000
7.000000,none,3,17.759726,0.000000,0.300000,0.002667
7.100000,3,none,0.000000,0.500000,0.000000,0.000000
7.700000,none,2,19.461630,0.000000,0.300000,0.002667
7.800000,2,none,0.000000,0.500000,0.000000,0.000000
11.600000,none,3,21.375853,0.000000,0.300000,0.002667
11.800000,3,none,0.000000,0.500000,0.000000,0.000000
12.000000,none,3,23.462501,0.000000,0.300000,0.002667
12.200000,3,none,0.000000,0.500000,0.000000,0.000000
15.500000,none,5,21.724539,0.000000,0.300000,0.002667
15.700000,5,none,0.000000,0.500000,0.000000,0.000000
18.500000,none,5,17.594556,0.000000,0.300000,0.002667
18.700000,5,none,0.000000,0.500000,0.000000,0.000000
18.900000,none,5,19.248783,0.000000,0.300000,0.002667
19.200000,5,none,0.000000,0.500000,0.000000,0.000000
19.500000,none,5,16.631618,0.000000,0.300000,0.002667
19.800000,5,none,0.000000,0.500000,0.000000,0.000000
22.200000,none,3,18.363945,0.000000,0.300000,0.002667
22.500000,3,none,0.000000,0.500000,0.000000,0.000000
23.300000,none,1,17.998834,0.000000,0.300000,0.002667
23.700000,1,none,0.000000,0.500000,0.000000,0.000000
24.000000,none,1,16.922750,0.000000,0.300000,0.002667
24.100000,1,none,0.000000,0.500000,0.000000,0.000000
25.600000,none,1,17.436111,0.000000,0.300000,0.002667
25.800000,1,none,0.000000,0.500000,0.000000,0.000000
26.800000,none,1,19.831761,0.000000,0.300000,0.002667
27.000000,1,none,0.000000,0.500000,0.000000,0.000000
27.100000,none,1,17.919768,0.000000,0.300000,0.002667
27.200000,1,none,0.000000,0.500000,0.000000,0.000000
27.600000,none,1,17.990037,0.000000,0.300000,0.002667
