time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
8.700000,none,1,19.628341,0.000000,0.300000,0.002667
9.000000,1,none,0.000000,0.500000,0.000000,0.000000
10.700000,none,3,17.808047,0.000000,0.300000,0.002667
10.800000,3,none,0.000000,0.500000,0.000000,0.000000
11.800000,none,4,18.605233,0.000000,0.300000,0.002667
11.900000,4,none,0.000000,0.500000,0.000000,0.000000
12.200000,none,4,20.156354,0.000000,0.300000,0.002667
12.600000,4,none,0.000000,0.500000,0.000000,0.000000
15.500000,none,4,17.958465,0.000000,0.300000,0.002667
15.600000,4,none,0.000000,0.500000,0.000000,0.000000
16.800000,none,4,21.507816,0.000000,0.300000,0.002667
17.000000,4,none,0.000000,0.500000,0.000000,0.000000
19.000000,none,4,18.936726,0.000000,0.300000,0.002667
19.100000,4,none,0.000000,0.500000,0.000000,0.000000
21.200000,none,4,17.139792,0.000000,0.300000,0.002667
21.300000,4,none,0.000000,0.500000,0.000000,0.000000
21.700000,none,4,20.360261,0.000000,0.300000,0.002667
22.200000,4,none,0.000000,0.500000,0.000000,0.000000
23.100000,none,4,17.569177,0.000000,0.300000,0.002667
23.500000,4,none,0.000000,0.500000,0.000000,0.000000
25.100000,none,5,18.436497,0.000000,0.300000,0.002667
25.200000,5,none,0.000000,0.500000,0.000000,0.000000
25.500000,none,5,16.624939,0.000000,0.300000,0.002667
25.800000,5,none,0.000000,0.500000,0.000000,0.000000
28.800000,none,5,22.401721,0.000000,0.300000,0.002667
29.000000,5,none,0.000000,0.500000,0.000000,0.000000
33.300000,none,2,20.916558,0.000000,0.300000,0.002667
33.600000,2,none,0.000000,0.500000,0.000000,0.000000
33.700000,none,2,23.181418,0.000000,0.300000,0.002667
33.900000,2,none,0.000000,0.500000,0.000000,0.000000
36.400000,none,2,22.127912,0.000000,0.300000,0.002667
36.700000,2,none,0.000000,0.500000,0.000000,0.000000
37.700000,none,3,16.978953,0.000000,0.300000,0.002667
37.800000,3,none,0.000000,0.500000,0.000000,0.000000
38.300000,none,3,16.929605,0.000000,0.300000,0.002667
38.600000,3,none,0.000000,0.500000,0.000000,0.000000
38.800000,none,3,21.797539,0.000000,0.300000,0.002667
39.000000,3,none,0.000000,0.500000,0.000000,0.000000
40.100000,none,3,22.313569,0.000000,0.300000,0.002667
40.300000,3,none,0.000000,0.500000,0.000000,0.000000
42.200000,none,1,17.905595,0.000000,0.300000,0.002667
42.500000,1,none,0.000000,0.500000,0.000000,0.000000
42.700000,none,1,18.649775,0.000000,0.300000,0.002667
42.900000,1,none,0.000000,0.500000,0.000000,0.000000
43.100000,none,1,22.704872,0.000000,0.300000,0.002667
43.300000,1,none,0.000000,0.500000,0.000000,0.000000
46.000000,none,3,17.827025,0.000000,0.300000,0.002667
46.300000,3,none,0.000000,0.500000,0.000000,0.000000
47.400000,none,5,16.789743,0.000000,0.300000,0.002667
47.500000,5,none,0.000000,0.500000,0.000000,0.000000
49.200000,none,5,16.959293,0.000000,0.300000,0.002667
49.800000,5,none,0.000000,0.500000,0.000000,0.000000
52.300000,none,3,17.133621,0.000000,0.300000,0.002667
52.400000,3,none,0.000000,0.500000,0.000000,0.000000
52.800000,none,3,20.701682,0.000000,0.300000,0.002667
53.000000,3,none,0.000000,0.500000,0.000000,0.000000
56.600000,none,4,16.839533,0.000000,0.300000,0.002667
56.800000,4,none,0.000000,0.500000,0.000000,0.000000
59.000000,none,2,19.431145,0.000000,0.300000,0.002667
59.100000,2,none,0.000000,0.500000,0.000000,0.000000
59.400000,none,2,18.241665,0.000000,0.300000,0.002667
59.600000,2,none,0.000000,0.500000,0.000000,0.000000
60.300000,none,3,20.659172,0.000000,0.300000,0.002667
60.500000,3,none,0.000000,0.500000,0.000000,0.000000
65.100000,none,3,20.069161,0.000000,0.300000,0.002667
65.400000,3,none,0.000000,0.500000,0.000000,0.000000
66.400000,none,5,18.996772,0.000000,0.300000,0.002667
66.500000,5,none,0.000000,0.500000,0.000000,0.000000
69.700000,none,3,18.294428,0.000000,0.300000,0.002667
69.800000,3,none,0.000000,0.500000,0.000000,0.000000
72.900000,none,5,16.689613,0.000000,0.300000,0.002667
73.000000,5,none,0.000000,0.500000,0.000000,0.000000
73.300000,none,5,16.978179,0.000000,0.300000,0.002667
73.400000,5,none,0.000000,0.500000,0.000000,0.000000
73.800000,none,5,19.168727,0.000000,0.300000,0.002667
74.200000,5,none,0.000000,0.500000,0.000000,0.000000
74.800000,none,5,19.648560,0.000000,0.300000,0.002667
74.900000,5,none,0.000000,0.500000,0.000000,0.000000
75.800000,none,3,22.886990,0.000000,0.300000,0.002667
76.000000,3,none,0.000000,0.500000,0.000000,0.000000
77.800000,none,2,22.860933,0.000000,0.300000,0.002667
78.000000,2,none,0.000000,0.500000,0.000000,0.000000
78.700000,none,2,20.502176,0.000000,0.300000,0.002667
78.900000,2,none,0.000000,0.500000,0.000000,0.000000
