time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,10,6.459435,0.017705,0.000000,4289.182117
0.100000,10,17,10.356145,0.000493,0.202246,0.003956
0.800000,17,16,13.377874,0.000002,0.299631,0.002670
1.400000,16,17,14.441565,0.000000,0.299984,0.002667
2.000000,17,10,8.690187,0.003268,0.021874,0.036574
2.100000,10,none,0.000000,0.500000,0.000000,0.000000
2.200000,none,17,6.966008,0.012874,0.000009,84.735814
2.700000,17,16,8.738255,0.003122,0.024595,0.032527
3.000000,16,9,6.722200,0.015070,0.000002,503.008618
4.700000,9,8,11.112655,0.000163,0.263418,0.003037
5.900000,8,1,8.874758,0.002734,0.033557,0.023840
6.800000,1,8,9.321696,0.001724,0.075455,0.010602
7.500000,8,none,0.000000,0.500000,0.000000,0.000000
7.700000,none,0,5.860664,0.024793,0.000000,1408256.364021
8.900000,0,1,15.533208,0.000000,0.300000,0.002667
9.500000,1,none,0.000000,0.500000,0.000000,0.000000
9.600000,none,8,6.197528,0.020618,0.000000,46146.368609
10.500000,8,1,10.499474,0.000405,0.216985,0.003687
10.700000,1,8,9.236907,0.001888,0.066158,0.012092
12.500000,8,9,13.379444,0.000002,0.299632,0.002670
12.700000,9,8,14.371708,0.000000,0.299980,0.002667
13.900000,8,15,10.219034,0.000591,0.186903,0.004280
14.700000,15,14,14.694584,0.000000,0.299993,0.002667
15.500000,14,15,14.696067,0.000000,0.299993,0.002667
15.900000,15,14,5.814552,0.025403,0.000000,2322345.110521
16.000000,14,none,0.000000,0.500000,0.000000,0.000000
16.200000,none,21,7.108137,0.011702,0.000024,32.788367
16.900000,21,none,0.000000,0.500000,0.000000,0.000000
17.000000,none,14,4.978132,0.038047,0.000000,80063993375.475494
17.100000,14,none,0.000000,0.500000,0.000000,0.000000
17.200000,none,21,6.599664,0.016263,0.000001,1326.960581
18.300000,21,14,10.501558,0.000404,0.217189,0.003683
18.800000,14,none,0.000000,0.500000,0.000000,0.000000
18.900000,none,21,5.617842,0.028107,0.000000,21432298.188939
19.800000,21,22,15.232605,0.000000,0.299999,0.002667
20.400000,22,21,15.253311,0.000000,0.299999,0.002667
20.900000,21,22,7.836421,0.006850,0.001227,0.651878
23.100000,22,none,0.000000,0.500000,0.000000,0.000000
23.300000,none,14,4.632843,0.044127,0.000000,12009599006321.322266
23.800000,14,none,0.000000,0.500000,0.000000,0.000000
24.000000,none,22,6.389868,0.018450,0.000000,7873.365795
24.300000,22,15,5.157084,0.035091,0.000000,6870479980.733023
24.900000,15,22,9.665529,0.001172,0.117419,0.006813
25.300000,22,23,8.853460,0.002792,0.032037,0.024971
25.800000,23,none,0.000000,0.500000,0.000000,0.000000
26.000000,none,15,5.357685,0.031938,0.000000,505369424.605341
26.300000,15,16,12.764080,0.000007,0.298349,0.002681
26.800000,16,15,13.683306,0.000001,0.299838,0.002668
27.400000,15,16,15.099779,0.000000,0.299998,0.002667
28.200000,16,23,7.670239,0.007796,0.000572,1.397427
29.300000,23,24,14.368662,0.000000,0.299980,0.002667
30.000000,24,23,5.111573,0.035830,0.000000,12681730735.291786
30.100000,23,none,0.000000,0.500000,0.000000,0.000000
30.300000,none,17,7.196380,0.011013,0.000043,18.774381
30.800000,17,16,11.457065,0.000092,0.278697,0.002871
31.500000,16,23,7.953138,0.006238,0.002009,0.398251
31.600000,23,16,4.718790,0.042568,0.000000,3431314001806.091797
32.900000,16,none,0.000000,0.500000,0.000000,0.000000
