time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,8,7.495902,0.008888,0.000237,3.370924
0.100000,8,9,8.987707,0.002443,0.042378,0.018878
3.000000,9,none,0.000000,0.500000,0.000000,0.000000
3.100000,none,9,5.411524,0.031122,0.000000,257366014.257853
11.600000,9,none,0.000000,0.500000,0.000000,0.000000
12.600000,none,9,5.010061,0.037510,0.000000,51213641818.001373
14.000000,9,8,6.702953,0.015253,0.000001,583.829995
24.700000,8,none,0.000000,0.500000,0.000000,0.000000
37.300000,none,9,4.741742,0.042157,0.000000,2401919801264.264648
40.300000,9,none,0.000000,0.500000,0.000000,0.000000
40.800000,none,9,4.422245,0.048072,0.000000,inf
42.400000,9,none,0.000000,0.500000,0.000000,0.000000
53.900000,none,3,4.629882,0.044182,0.000000,12009599006321.322266
54.200000,3,none,0.000000,0.500000,0.000000,0.000000
54.300000,none,4,5.395685,0.031361,0.000000,313529715.994761
62.900000,4,5,8.474935,0.003988,0.012265,0.065226
65.500000,5,none,0.000000,0.500000,0.000000,0.000000
68.500000,none,10,4.791625,0.041271,0.000000,1200959900632.132324
70.900000,10,none,0.000000,0.500000,0.000000,0.000000
77.300000,none,11,5.108305,0.035884,0.000000,13255628042.297264
81.200000,11,none,0.000000,0.500000,0.000000,0.000000
85.000000,none,11,5.445367,0.030614,0.000000,169335312.122068
86.600000,11,none,0.000000,0.500000,0.000000,0.000000
89.100000,none,11,4.835616,0.040498,0.000000,615876872119.042114
95.800000,11,none,0.000000,0.500000,0.000000,0.000000
96.300000,none,11,5.743475,0.026361,0.000000,5098852.043365
98.700000,11,none,0.000000,0.500000,0.000000,0.000000
100.400000,none,5,5.594301,0.028441,0.000000,28232669.901397
104.900000,5,none,0.000000,0.500000,0.000000,0.000000
106.900000,none,5,4.702271,0.042866,0.000000,4803839602528.529297
109.300000,5,none,0.000000,0.500000,0.000000,0.000000
110.200000,none,4,5.213786,0.034183,0.000000,3235780413.935423
112.600000,4,none,0.000000,0.500000,0.000000,0.000000
118.400000,none,4,4.630656,0.044167,0.000000,12009599006321.322266
