time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,7,18.408425,0.000000,0.300000,0.002667
0.200000,7,none,0.000000,0.500000,0.000000,0.000000
0.800000,none,8,17.904753,0.000000,0.300000,0.002667
1.100000,8,none,0.000000,0.500000,0.000000,0.000000
1.700000,none,9,18.021994,0.000000,0.300000,0.002667
2.000000,9,none,0.000000,0.500000,0.000000,0.000000
2.500000,none,10,16.676213,0.000000,0.300000,0.002667
2.900000,10,none,0.000000,0.500000,0.000000,0.000000
3.400000,none,11,16.893577,0.000000,0.300000,0.002667
3.800000,11,none,0.000000,0.500000,0.000000,0.000000
4.300000,none,12,17.097471,0.000000,0.300000,0.002667
4.700000,12,none,0.000000,0.500000,0.000000,0.000000
5.200000,none,13,17.287590,0.000000,0.300000,0.002667
