time_s,ue_x,ue_y,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,5.000000,8.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,4.997722,7.700009,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,4.995443,7.400017,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,4.993165,7.100026,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,4.990886,6.800035,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,4.988608,6.500043,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,4.721012,6.635661,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,4.453415,6.771279,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,4.185819,6.906897,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,3.918223,7.042515,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,3.650626,7.178133,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,3.457686,6.948407,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,3.264745,6.718681,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,3.071804,6.488956,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,2.878864,6.259230,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,2.685923,6.029504,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,2.656108,5.730990,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,2.626292,5.432475,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,2.596477,5.133960,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,2.566662,4.835445,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,2.536847,4.536931,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,2.835243,4.505951,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,3.133639,4.474971,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,3.432035,4.443991,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,3.730431,4.413011,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,4.028827,4.382031,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,3.884157,4.644844,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,3.739487,4.907657,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,3.594817,5.170469,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,3.450147,5.433282,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,3.305477,5.696095,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,3.027184,5.584055,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,2.748890,5.472016,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,2.470597,5.359976,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,2.192304,5.247936,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,1.914011,5.135896,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,2.155985,4.958559,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,2.397959,4.781222,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,2.639933,4.603884,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,2.881907,4.426547,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,3.123881,4.249210,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,2.979470,3.986255,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,2.835058,3.723300,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.300000,2.690646,3.460345,0,18.610495,0.000000,0.000000,0.000000,0.000000,0.000000
4.400000,2.546234,3.197390,0,21.507839,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,2.401822,2.934435,0,23.171666,0.000000,0.000000,0.000000,0.000000,0.000000
4.600000,2.413617,3.234203,0,21.145090,0.000000,0.000000,0.000000,0.000000,0.000000
4.700000,2.425411,3.533971,0,17.959381,0.000000,0.000000,0.000000,0.000000,0.000000
4.800000,2.437205,3.833740,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.900000,2.448999,4.133508,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2.460794,4.433276,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.100000,2.679011,4.227409,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.200000,2.897228,4.021542,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,3.115446,3.815675,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,3.333663,3.609808,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,3.551880,3.403941,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,3.650688,3.687202,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,3.749496,3.970464,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,3.848303,4.253725,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,3.947111,4.536987,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,4.045919,4.820248,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.100000,3.877867,5.068760,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.200000,3.709814,5.317273,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.300000,3.541762,5.565785,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.400000,3.373709,5.814298,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.500000,3.205657,6.062810,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.600000,3.486722,5.957916,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.700000,3.767786,5.853022,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.800000,4.048850,5.748128,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.900000,4.329915,5.643234,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,4.610979,5.538339,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.100000,4.868470,5.384395,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.200000,5.125960,5.230451,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.300000,5.383450,5.076507,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.400000,5.640940,4.922563,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.500000,5.898431,4.768620,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
