time_s,ue_x,ue_y,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,5.000000,8.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,4.950342,8.295862,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,4.900684,8.591723,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,4.851026,8.887585,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,4.801368,9.183446,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,4.751710,9.479308,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,5.043314,9.408829,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,5.334918,9.338350,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,5.626521,9.267871,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,5.918125,9.197392,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,6.209729,9.126913,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,6.481070,8.998952,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,6.752410,8.870990,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,7.023751,8.743028,3,0.000000,0.000000,0.000000,17.811203,0.000000,0.000000
1.400000,7.295092,8.615067,3,0.000000,0.000000,0.000000,20.439291,0.000000,0.000000
1.500000,7.566433,8.487105,3,0.000000,0.000000,0.000000,21.845958,0.000000,0.000000
1.600000,7.752768,8.251990,3,0.000000,0.000000,0.000000,22.784477,0.000000,0.000000
1.700000,7.939104,8.016875,3,0.000000,0.000000,0.000000,22.241115,0.000000,0.000000
1.800000,8.125439,7.781760,3,0.000000,0.000000,0.000000,20.297470,0.000000,0.000000
1.900000,8.311775,7.546645,3,0.000000,0.000000,0.000000,17.218556,0.000000,0.000000
2.000000,8.498110,7.311530,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,8.786234,7.395105,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,9.074358,7.478680,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,9.362481,7.562255,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,9.650605,7.645831,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,9.938728,7.729406,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,9.681320,7.575324,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,9.423912,7.421243,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,9.166504,7.267162,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,8.909096,7.113080,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,8.651688,6.958999,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,8.785619,6.690555,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,8.919549,6.422110,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,9.053480,6.153665,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,9.187411,5.885221,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,9.321342,5.616776,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,9.045841,5.498036,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,8.770340,5.379297,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,8.494839,5.260557,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,8.219337,5.141817,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,7.943836,5.023077,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,8.143012,5.247419,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,8.342188,5.471760,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.300000,8.541363,5.696102,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.400000,8.740539,5.920443,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,8.939715,6.144784,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.600000,9.090674,5.885533,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.700000,9.241634,5.626282,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.800000,9.392593,5.367031,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.900000,9.543553,5.107779,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,9.694513,4.848528,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.100000,9.550916,4.585127,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.200000,9.407320,4.321726,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,9.263723,4.058325,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,9.120127,3.794924,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,8.976531,3.531523,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,9.157759,3.770597,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,9.338986,4.009672,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,9.520214,4.248746,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,9.701442,4.487820,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,9.882670,4.726894,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.100000,9.653853,4.532876,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.200000,9.425037,4.338858,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.300000,9.196220,4.144841,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.400000,8.967403,3.950823,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.500000,8.738586,3.756805,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.600000,8.753225,3.457163,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.700000,8.767864,3.157520,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.800000,8.782502,2.857877,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.900000,8.797141,2.558235,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,8.811779,2.258592,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.100000,8.521088,2.184442,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.200000,8.230396,2.110292,1,0.000000,17.366086,0.000000,0.000000,0.000000,0.000000
7.300000,7.939704,2.036142,1,0.000000,19.158335,0.000000,0.000000,0.000000,0.000000
7.400000,7.649012,1.961992,1,0.000000,19.692805,0.000000,0.000000,0.000000,0.000000
7.500000,7.358320,1.887842,1,0.000000,18.897224,0.000000,0.000000,0.000000,0.000000
7.600000,7.300901,1.593389,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.700000,7.243482,1.298935,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.800000,7.186063,1.004481,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.900000,7.128644,0.710027,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,7.071225,0.415573,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
