fov_deg,n_aps,coverage_pct,avg_snr_dB,min_snr_dB,overlap_pct,c1_satisfied,selected
28.5000,4,5.6300,20.0781,16.6087,0.0000,0,0
28.5000,9,7.4900,20.0857,16.6120,0.0000,0,0
28.5000,16,18.7250,20.0857,16.6120,0.0000,0,0
28.5000,25,33.7550,20.0807,16.6078,0.0000,0,1
45.0000,4,19.0800,13.0092,4.3831,0.0000,0,0
45.0000,9,25.4300,13.0127,4.3903,0.0000,0,0
45.0000,16,60.7750,13.3543,4.4131,2.8000,0,1
45.0000,25,94.3400,14.3072,4.3864,20.1600,1,1
60.0000,4,53.5675,0.8852,-15.1101,3.6925,0,0
60.0000,9,57.7700,2.9211,-15.1101,18.6000,0,0
60.0000,16,100.0000,7.2042,-12.7695,86.1500,1,0
60.0000,25,100.0000,13.6498,-0.7045,100.0000,1,0
75.0000,4,100.0000,-12.4153,-43.2008,97.2800,0,0
75.0000,9,100.0000,-9.8356,-40.5593,100.0000,1,0
75.0000,16,100.0000,7.2042,-12.7695,100.0000,1,0
75.0000,25,100.0000,13.6498,-0.7045,100.0000,1,0
