time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.300000,none,3,21.710516,0.000000,0.300000,0.002667
0.500000,3,none,0.000000,0.500000,0.000000,0.000000
1.100000,none,3,16.752672,0.000000,0.300000,0.002667
1.200000,3,none,0.000000,0.500000,0.000000,0.000000
2.800000,none,5,22.544275,0.000000,0.300000,0.002667
3.000000,5,none,0.000000,0.500000,0.000000,0.000000
3.900000,none,5,19.715858,0.000000,0.300000,0.002667
4.000000,5,none,0.000000,0.500000,0.000000,0.000000
4.800000,none,2,18.758715,0.000000,0.300000,0.002667
5.000000,2,none,0.000000,0.500000,0.000000,0.000000
5.200000,none,2,17.694854,0.000000,0.300000,0.002667
5.400000,2,none,0.000000,0.500000,0.000000,0.000000
5.700000,none,2,20.238203,0.000000,0.300000,0.002667
6.000000,2,none,0.000000,0.500000,0.000000,0.000000
8.900000,none,5,18.675523,0.000000,0.300000,0.002667
9.100000,5,none,0.000000,0.500000,0.000000,0.000000
15.500000,none,5,19.285500,0.000000,0.300000,0.002667
15.800000,5,none,0.000000,0.500000,0.000000,0.000000
17.600000,none,5,17.108272,0.000000,0.300000,0.002667
17.700000,5,none,0.000000,0.500000,0.000000,0.000000
20.600000,none,4,18.562994,0.000000,0.300000,0.002667
20.700000,4,none,0.000000,0.500000,0.000000,0.000000
21.100000,none,4,16.804613,0.000000,0.300000,0.002667
21.200000,4,none,0.000000,0.500000,0.000000,0.000000
21.700000,none,2,17.421215,0.000000,0.300000,0.002667
21.900000,2,none,0.000000,0.500000,0.000000,0.000000
23.100000,none,2,20.254841,0.000000,0.300000,0.002667
23.300000,2,none,0.000000,0.500000,0.000000,0.000000
26.800000,none,2,21.622836,0.000000,0.300000,0.002667
26.900000,2,none,0.000000,0.500000,0.000000,0.000000
28.100000,none,2,19.451853,0.000000,0.300000,0.002667
28.300000,2,none,0.000000,0.500000,0.000000,0.000000
30.500000,none,1,17.662305,0.000000,0.300000,0.002667
31.100000,1,none,0.000000,0.500000,0.000000,0.000000
33.500000,none,0,21.535235,0.000000,0.300000,0.002667
33.800000,0,none,0.000000,0.500000,0.000000,0.000000
33.900000,none,0,18.748964,0.000000,0.300000,0.002667
34.100000,0,none,0.000000,0.500000,0.000000,0.000000
35.400000,none,3,18.654341,0.000000,0.300000,0.002667
35.600000,3,none,0.000000,0.500000,0.000000,0.000000
37.900000,none,0,20.262557,0.000000,0.300000,0.002667
38.100000,0,none,0.000000,0.500000,0.000000,0.000000
38.600000,none,0,20.013348,0.000000,0.300000,0.002667
38.800000,0,none,0.000000,0.500000,0.000000,0.000000
38.900000,none,0,17.050410,0.000000,0.300000,0.002667
39.000000,0,none,0.000000,0.500000,0.000000,0.000000
39.400000,none,0,17.197299,0.000000,0.300000,0.002667
39.700000,0,none,0.000000,0.500000,0.000000,0.000000
40.900000,none,0,16.937935,0.000000,0.300000,0.002667
41.000000,0,none,0.000000,0.500000,0.000000,0.000000
44.800000,none,0,18.478351,0.000000,0.300000,0.002667
44.900000,0,none,0.000000,0.500000,0.000000,0.000000
45.800000,none,0,20.910525,0.000000,0.300000,0.002667
46.100000,0,none,0.000000,0.500000,0.000000,0.000000
46.200000,none,0,18.621461,0.000000,0.300000,0.002667
46.500000,0,none,0.000000,0.500000,0.000000,0.000000
46.600000,none,0,20.659597,0.000000,0.300000,0.002667
46.800000,0,none,0.000000,0.500000,0.000000,0.000000
47.600000,none,2,18.905149,0.000000,0.300000,0.002667
47.700000,2,none,0.000000,0.500000,0.000000,0.000000
49.600000,none,4,18.601706,0.000000,0.300000,0.002667
50.000000,4,none,0.000000,0.500000,0.000000,0.000000
50.200000,none,4,18.482338,0.000000,0.300000,0.002667
50.300000,4,none,0.000000,0.500000,0.000000,0.000000
52.500000,none,2,17.652757,0.000000,0.300000,0.002667
53.000000,2,none,0.000000,0.500000,0.000000,0.000000
56.400000,none,1,21.693859,0.000000,0.300000,0.002667
56.600000,1,none,0.000000,0.500000,0.000000,0.000000
58.700000,none,1,22.537255,0.000000,0.300000,0.002667
59.200000,1,none,0.000000,0.500000,0.000000,0.000000
59.900000,none,1,17.772952,0.000000,0.300000,0.002667
60.100000,1,none,0.000000,0.500000,0.000000,0.000000
60.900000,none,1,22.578259,0.000000,0.300000,0.002667
61.100000,1,none,0.000000,0.500000,0.000000,0.000000
62.700000,none,1,20.293298,0.000000,0.300000,0.002667
63.000000,1,none,0.000000,0.500000,0.000000,0.000000
64.000000,none,1,16.824981,0.000000,0.300000,0.002667
64.300000,1,none,0.000000,0.500000,0.000000,0.000000
64.400000,none,1,19.788515,0.000000,0.300000,0.002667
64.700000,1,none,0.000000,0.500000,0.000000,0.000000
68.500000,none,1,20.604017,0.000000,0.300000,0.002667
68.700000,1,none,0.000000,0.500000,0.000000,0.000000
69.000000,none,1,17.822617,0.000000,0.300000,0.002667
69.100000,1,none,0.000000,0.500000,0.000000,0.000000
70.800000,none,1,21.655980,0.000000,0.300000,0.002667
71.000000,1,none,0.000000,0.500000,0.000000,0.000000
72.700000,none,1,21.359020,0.000000,0.300000,0.002667
72.900000,1,none,0.000000,0.500000,0.000000,0.000000
74.700000,none,1,20.152743,0.000000,0.300000,0.002667
74.900000,1,none,0.000000,0.500000,0.000000,0.000000
77.200000,none,1,20.976531,0.000000,0.300000,0.002667
77.400000,1,none,0.000000,0.500000,0.000000,0.000000
77.800000,none,1,17.723819,0.000000,0.300000,0.002667
77.900000,1,none,0.000000,0.500000,0.000000,0.000000
79.900000,none,2,18.857103,0.000000,0.300000,0.002667
80.200000,2,none,0.000000,0.500000,0.000000,0.000000
80.700000,none,2,19.072447,0.000000,0.300000,0.002667
81.000000,2,none,0.000000,0.500000,0.000000,0.000000
81.100000,none,2,16.960795,0.000000,0.300000,0.002667
81.300000,2,none,0.000000,0.500000,0.000000,0.000000
82.900000,none,2,19.287832,0.000000,0.300000,0.002667
83.000000,2,none,0.000000,0.500000,0.000000,0.000000
84.100000,none,2,21.976597,0.000000,0.300000,0.002667
84.300000,2,none,0.000000,0.500000,0.000000,0.000000
85.300000,none,4,21.692800,0.000000,0.300000,0.002667
85.500000,4,none,0.000000,0.500000,0.000000,0.000000
87.200000,none,5,18.228831,0.000000,0.300000,0.002667
87.300000,5,none,0.000000,0.500000,0.000000,0.000000
90.400000,none,4,17.787854,0.000000,0.300000,0.002667
90.700000,4,none,0.000000,0.500000,0.000000,0.000000
96.900000,none,0,21.680314,0.000000,0.300000,0.002667
97.100000,0,none,0.000000,0.500000,0.000000,0.000000
101.300000,none,3,19.185335,0.000000,0.300000,0.002667
101.700000,3,none,0.000000,0.500000,0.000000,0.000000
