time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.700000,none,3,18.744004,0.000000,0.300000,0.002667
1.400000,3,none,0.000000,0.500000,0.000000,0.000000
3.000000,none,3,18.594009,0.000000,0.300000,0.002667
3.200000,3,none,0.000000,0.500000,0.000000,0.000000
7.300000,none,5,18.272012,0.000000,0.300000,0.002667
7.800000,5,none,0.000000,0.500000,0.000000,0.000000
10.300000,none,5,18.661344,0.000000,0.300000,0.002667
10.600000,5,none,0.000000,0.500000,0.000000,0.000000
12.800000,none,2,18.758715,0.000000,0.300000,0.002667
13.200000,2,none,0.000000,0.500000,0.000000,0.000000
13.900000,none,2,18.793515,0.000000,0.300000,0.002667
14.200000,2,none,0.000000,0.500000,0.000000,0.000000
15.100000,none,2,18.021843,0.000000,0.300000,0.002667
16.000000,2,none,0.000000,0.500000,0.000000,0.000000
22.000000,none,5,17.167935,0.000000,0.300000,0.002667
22.100000,5,none,0.000000,0.500000,0.000000,0.000000
23.700000,none,5,17.499596,0.000000,0.300000,0.002667
24.300000,5,none,0.000000,0.500000,0.000000,0.000000
41.300000,none,5,18.135671,0.000000,0.300000,0.002667
41.900000,5,none,0.000000,0.500000,0.000000,0.000000
47.000000,none,5,18.591447,0.000000,0.300000,0.002667
47.100000,5,none,0.000000,0.500000,0.000000,0.000000
54.900000,none,4,17.354814,0.000000,0.300000,0.002667
55.200000,4,none,0.000000,0.500000,0.000000,0.000000
56.100000,none,4,16.665987,0.000000,0.300000,0.002667
56.300000,4,none,0.000000,0.500000,0.000000,0.000000
57.900000,none,2,18.530296,0.000000,0.300000,0.002667
58.200000,2,none,0.000000,0.500000,0.000000,0.000000
61.500000,none,2,17.769963,0.000000,0.300000,0.002667
62.100000,2,none,0.000000,0.500000,0.000000,0.000000
71.300000,none,2,17.315276,0.000000,0.300000,0.002667
71.700000,2,none,0.000000,0.500000,0.000000,0.000000
74.900000,none,2,18.308149,0.000000,0.300000,0.002667
75.400000,2,none,0.000000,0.500000,0.000000,0.000000
81.400000,none,1,19.959485,0.000000,0.300000,0.002667
82.000000,1,none,0.000000,0.500000,0.000000,0.000000
82.100000,none,1,18.022329,0.000000,0.300000,0.002667
82.800000,1,none,0.000000,0.500000,0.000000,0.000000
89.200000,none,0,17.522853,0.000000,0.300000,0.002667
89.900000,0,none,0.000000,0.500000,0.000000,0.000000
90.200000,none,0,17.528646,0.000000,0.300000,0.002667
91.000000,0,none,0.000000,0.500000,0.000000,0.000000
94.400000,none,3,18.654341,0.000000,0.300000,0.002667
94.800000,3,none,0.000000,0.500000,0.000000,0.000000
101.000000,none,0,18.767497,0.000000,0.300000,0.002667
101.500000,0,none,0.000000,0.500000,0.000000,0.000000
102.800000,none,0,16.664437,0.000000,0.300000,0.002667
103.400000,0,none,0.000000,0.500000,0.000000,0.000000
103.700000,none,0,16.690559,0.000000,0.300000,0.002667
104.000000,0,none,0.000000,0.500000,0.000000,0.000000
105.100000,none,0,18.406566,0.000000,0.300000,0.002667
105.800000,0,none,0.000000,0.500000,0.000000,0.000000
106.800000,none,0,16.874363,0.000000,0.300000,0.002667
107.000000,0,none,0.000000,0.500000,0.000000,0.000000
109.000000,none,0,16.739751,0.000000,0.300000,0.002667
109.200000,0,none,0.000000,0.500000,0.000000,0.000000
117.900000,none,0,17.539044,0.000000,0.300000,0.002667
118.200000,0,none,0.000000,0.500000,0.000000,0.000000
119.500000,none,0,19.614854,0.000000,0.300000,0.002667
119.600000,0,none,0.000000,0.500000,0.000000,0.000000
