time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,10,6.459435,0.017705,0.000000,4289.182117
0.100000,10,17,10.369138,0.000484,0.203640,0.003929
1.500000,17,18,9.416522,0.001554,0.086447,0.009254
2.000000,18,25,10.801392,0.000262,0.243218,0.003289
2.200000,25,18,10.481466,0.000415,0.215211,0.003717
2.900000,18,17,16.171068,0.000000,0.300000,0.002667
3.400000,17,18,10.337307,0.000505,0.200207,0.003996
3.800000,18,25,9.299082,0.001766,0.072923,0.010970
4.400000,25,none,0.000000,0.500000,0.000000,0.000000
4.700000,none,19,7.199185,0.010992,0.000043,18.451839
5.600000,19,26,5.223547,0.034028,0.000000,2845876541.782304
6.600000,26,none,0.000000,0.500000,0.000000,0.000000
6.800000,none,20,6.153931,0.021131,0.000000,70176.511455
7.200000,20,19,11.008575,0.000191,0.257400,0.003108
7.800000,19,26,9.587231,0.001283,0.107442,0.007446
10.100000,26,none,0.000000,0.500000,0.000000,0.000000
10.200000,none,19,7.864618,0.006698,0.001387,0.576885
11.000000,19,18,12.891836,0.000005,0.298771,0.002678
11.500000,18,11,10.850424,0.000244,0.246849,0.003241
12.300000,11,10,12.943946,0.000005,0.298913,0.002676
13.400000,10,11,13.676271,0.000001,0.299835,0.002668
13.700000,11,10,14.498489,0.000000,0.299987,0.002667
14.500000,10,11,15.056892,0.000000,0.299998,0.002667
14.900000,11,10,10.010006,0.000773,0.161608,0.004950
16.800000,10,11,7.582529,0.008333,0.000371,2.153454
17.800000,11,18,4.594650,0.044830,0.000000,24019198012642.644531
18.800000,18,19,12.165214,0.000025,0.294107,0.002720
19.300000,19,18,14.303867,0.000000,0.299975,0.002667
20.000000,18,none,0.000000,0.500000,0.000000,0.000000
20.100000,none,18,4.620462,0.044354,0.000000,12009599006321.322266
20.400000,18,19,11.766218,0.000053,0.287491,0.002783
20.800000,19,18,7.443458,0.009237,0.000179,4.467533
21.100000,18,none,0.000000,0.500000,0.000000,0.000000
21.300000,none,26,5.871084,0.024657,0.000000,1259108.753601
21.800000,26,none,0.000000,0.500000,0.000000,0.000000
21.900000,none,19,7.464285,0.009097,0.000200,3.990997
22.200000,19,18,9.265542,0.001831,0.069237,0.011555
22.900000,18,25,6.117115,0.021570,0.000000,100518.534821
23.200000,25,none,0.000000,0.500000,0.000000,0.000000
23.300000,none,18,7.139438,0.011454,0.000030,26.830169
23.600000,18,19,10.664871,0.000320,0.232183,0.003446
24.300000,19,26,6.871088,0.013701,0.000005,165.624567
24.700000,26,none,0.000000,0.500000,0.000000,0.000000
24.900000,none,18,5.815487,0.025391,0.000000,2298739.279583
26.800000,18,none,0.000000,0.500000,0.000000,0.000000
27.100000,none,26,8.389135,0.004307,0.009492,0.084279
28.200000,26,25,12.470185,0.000013,0.296849,0.002695
28.900000,25,18,8.414597,0.004211,0.010259,0.077983
29.300000,18,25,9.158115,0.002051,0.058034,0.013785
30.600000,25,none,0.000000,0.500000,0.000000,0.000000
30.700000,none,18,5.982194,0.023231,0.000000,391189.690772
31.600000,18,none,0.000000,0.500000,0.000000,0.000000
31.900000,none,24,5.656782,0.027558,0.000000,13647845.427957
32.200000,24,none,0.000000,0.500000,0.000000,0.000000
32.500000,none,18,5.434469,0.030777,0.000000,193679780.773637
32.600000,18,25,5.360721,0.031892,0.000000,486356417.054280
33.900000,25,none,0.000000,0.500000,0.000000,0.000000
34.000000,none,18,7.801244,0.007043,0.001051,0.761431
36.300000,18,none,0.000000,0.500000,0.000000,0.000000
36.400000,none,17,5.281122,0.033122,0.000000,1344182551.493796
36.700000,17,18,7.546795,0.008559,0.000310,2.584052
37.300000,18,none,0.000000,0.500000,0.000000,0.000000
37.400000,none,11,5.115019,0.035774,0.000000,12100351643.648687
38.000000,11,18,8.695902,0.003250,0.022186,0.036060
39.500000,18,25,9.206920,0.001949,0.063005,0.012697
40.100000,25,26,14.514737,0.000000,0.299987,0.002667
41.000000,26,none,0.000000,0.500000,0.000000,0.000000
41.200000,none,19,4.956898,0.038407,0.000000,107709408128.442368
42.400000,19,20,14.519646,0.000000,0.299988,0.002667
43.000000,20,19,5.002752,0.037633,0.000000,56649051916.610016
43.100000,19,none,0.000000,0.500000,0.000000,0.000000
43.200000,none,26,4.547192,0.045710,0.000000,inf
44.700000,26,27,8.421435,0.004185,0.010472,0.076391
45.100000,27,20,8.641223,0.003422,0.019326,0.041394
46.900000,20,19,10.339736,0.000504,0.200471,0.003991
47.200000,19,none,0.000000,0.500000,0.000000,0.000000
47.500000,none,27,7.051577,0.012159,0.000017,47.476436
47.700000,27,20,10.179850,0.000622,0.182318,0.004388
48.600000,20,none,0.000000,0.500000,0.000000,0.000000
48.900000,none,26,6.217186,0.020389,0.000000,38284.019075
49.200000,26,19,4.962638,0.038310,0.000000,99664722044.160355
49.500000,19,20,10.722471,0.000295,0.237006,0.003375
49.900000,20,19,13.506595,0.000001,0.299737,0.002669
50.300000,19,20,13.201532,0.000002,0.299420,0.002672
52.600000,20,13,8.710123,0.003207,0.022975,0.034820
53.500000,13,none,0.000000,0.500000,0.000000,0.000000
53.600000,none,13,6.880947,0.013614,0.000005,154.276930
54.300000,13,12,6.966763,0.012868,0.000009,84.295125
56.700000,12,11,16.157297,0.000000,0.300000,0.002667
57.700000,11,10,15.351561,0.000000,0.299999,0.002667
58.600000,10,11,12.219361,0.000022,0.294710,0.002715
59.500000,11,12,5.330710,0.032352,0.000000,711532364.032427
59.600000,12,11,8.596052,0.003569,0.017172,0.046588
61.400000,11,10,7.927766,0.006368,0.001810,0.441989
62.700000,10,none,0.000000,0.500000,0.000000,0.000000
62.800000,none,17,8.020546,0.005904,0.002629,0.304287
63.500000,17,10,7.057706,0.012109,0.000018,45.587624
63.600000,10,none,0.000000,0.500000,0.000000,0.000000
63.900000,none,16,6.993915,0.012638,0.000011,69.967937
64.300000,16,17,12.074570,0.000030,0.292962,0.002731
65.700000,17,18,13.798509,0.000000,0.299883,0.002668
67.400000,18,none,0.000000,0.500000,0.000000,0.000000
67.700000,none,11,5.759894,0.026137,0.000000,4244739.495181
69.000000,11,4,6.602526,0.016235,0.000001,1296.474755
69.100000,4,11,7.789586,0.007108,0.000997,0.802229
71.000000,11,none,0.000000,0.500000,0.000000,0.000000
71.200000,none,10,6.852612,0.013866,0.000004,189.348901
71.900000,10,11,14.255071,0.000000,0.299971,0.002667
72.500000,11,none,0.000000,0.500000,0.000000,0.000000
72.700000,none,4,6.523695,0.017034,0.000000,2484.403071
73.000000,4,3,12.490908,0.000013,0.296985,0.002694
74.000000,3,2,16.932013,0.000000,0.300000,0.002667
74.200000,2,3,14.051678,0.000000,0.299945,0.002667
75.000000,3,10,10.903588,0.000225,0.250591,0.003192
75.600000,10,11,11.970742,0.000036,0.291416,0.002745
76.300000,11,none,0.000000,0.500000,0.000000,0.000000
76.500000,none,17,4.823060,0.040717,0.000000,750599937895.082642
77.000000,17,10,8.950543,0.002536,0.039335,0.020338
77.100000,10,17,8.246013,0.004882,0.005979,0.133796
77.900000,17,16,14.658882,0.000000,0.299992,0.002667
80.000000,16,none,0.000000,0.500000,0.000000,0.000000
80.200000,none,22,4.522145,0.046179,0.000000,inf
81.000000,22,23,4.729163,0.042382,0.000000,3002399751580.330566
81.100000,23,none,0.000000,0.500000,0.000000,0.000000
81.300000,none,15,6.625151,0.016010,0.000001,1079.960117
82.900000,15,none,0.000000,0.500000,0.000000,0.000000
83.200000,none,23,6.297975,0.019466,0.000000,18027.886668
86.800000,23,16,7.839955,0.006831,0.001246,0.641897
