time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,10,6.459435,0.017705,0.000000,4289.182117
0.100000,10,17,7.801083,0.007044,0.001050,0.761978
4.300000,17,18,6.959909,0.012927,0.000009,88.386415
5.600000,18,25,6.286411,0.019597,0.000000,20051.367871
6.400000,25,18,7.772569,0.007203,0.000923,0.866284
8.400000,18,17,12.006085,0.000034,0.291973,0.002740
9.900000,17,18,8.871632,0.002743,0.033331,0.024002
11.200000,18,25,6.520068,0.017072,0.000000,2561.204387
13.100000,25,none,0.000000,0.500000,0.000000,0.000000
13.900000,none,19,5.360085,0.031902,0.000000,490277765.561892
14.800000,19,18,11.204748,0.000140,0.268168,0.002983
15.100000,18,19,11.546000,0.000079,0.281639,0.002841
16.600000,19,none,0.000000,0.500000,0.000000,0.000000
16.800000,none,26,5.223547,0.034028,0.000000,2845876541.782304
19.600000,26,none,0.000000,0.500000,0.000000,0.000000
20.300000,none,20,4.668720,0.043473,0.000000,8006399337547.546875
21.400000,20,19,8.932794,0.002582,0.037931,0.021091
23.200000,19,26,6.651753,0.015748,0.000001,873.113907
30.100000,26,none,0.000000,0.500000,0.000000,0.000000
30.400000,none,19,4.893545,0.039491,0.000000,266879977918.251617
32.600000,19,18,11.174856,0.000147,0.266683,0.003000
34.200000,18,11,6.394158,0.018404,0.000000,7580.168774
36.800000,11,10,11.736873,0.000056,0.286818,0.002789
40.000000,10,11,11.348950,0.000111,0.274604,0.002913
40.900000,11,10,11.791134,0.000051,0.288040,0.002777
43.200000,10,11,11.682873,0.000062,0.285498,0.002802
44.300000,11,10,10.548525,0.000378,0.221700,0.003608
50.200000,10,11,7.191512,0.011050,0.000041,19.348688
53.400000,11,18,4.594650,0.044830,0.000000,24019198012642.644531
56.100000,18,19,11.834181,0.000047,0.288939,0.002769
57.600000,19,18,10.721041,0.000295,0.236889,0.003377
59.900000,18,none,0.000000,0.500000,0.000000,0.000000
60.300000,none,18,4.620462,0.044354,0.000000,12009599006321.322266
60.900000,18,19,7.488970,0.008933,0.000229,3.497190
62.100000,19,18,7.337507,0.009971,0.000099,8.086637
63.100000,18,none,0.000000,0.500000,0.000000,0.000000
63.900000,none,26,5.871084,0.024657,0.000000,1259108.753601
65.300000,26,none,0.000000,0.500000,0.000000,0.000000
65.500000,none,19,4.971928,0.038152,0.000000,87342538227.791443
66.500000,19,18,7.875063,0.006643,0.001450,0.551636
68.600000,18,25,5.109559,0.035863,0.000000,13032663056.235836
69.400000,25,none,0.000000,0.500000,0.000000,0.000000
69.700000,none,18,5.117999,0.035725,0.000000,11625942890.920931
70.700000,18,19,9.594815,0.001272,0.108401,0.007380
72.800000,19,26,5.919999,0.024023,0.000000,748412.398618
74.000000,26,none,0.000000,0.500000,0.000000,0.000000
74.700000,none,18,5.815487,0.025391,0.000000,2298739.279583
80.300000,18,none,0.000000,0.500000,0.000000,0.000000
81.100000,none,26,5.448823,0.030563,0.000000,162288588.830244
84.300000,26,25,10.839601,0.000248,0.246062,0.003251
86.300000,25,18,6.770562,0.014615,0.000002,347.822292
87.700000,18,25,6.742351,0.014879,0.000002,430.925203
91.800000,25,none,0.000000,0.500000,0.000000,0.000000
92.000000,none,18,4.424509,0.048029,0.000000,inf
94.800000,18,none,0.000000,0.500000,0.000000,0.000000
95.600000,none,24,4.500268,0.046590,0.000000,inf
96.600000,24,none,0.000000,0.500000,0.000000,0.000000
97.500000,none,18,5.434469,0.030777,0.000000,193679780.773637
97.600000,18,none,0.000000,0.500000,0.000000,0.000000
97.800000,none,25,5.360721,0.031892,0.000000,486356417.054280
101.700000,25,none,0.000000,0.500000,0.000000,0.000000
101.800000,none,18,5.418810,0.031012,0.000000,235102021.363898
108.900000,18,none,0.000000,0.500000,0.000000,0.000000
109.200000,none,17,5.281122,0.033122,0.000000,1344182551.493796
110.000000,17,18,6.166781,0.020979,0.000000,61976.027091
111.900000,18,none,0.000000,0.500000,0.000000,0.000000
112.100000,none,11,4.433733,0.047852,0.000000,inf
113.700000,11,18,7.091923,0.011832,0.000022,36.421380
118.300000,18,25,7.057706,0.012109,0.000018,45.587530
119.900000,25,26,10.608766,0.000347,0.227252,0.003520
