time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
1.100000,none,11,16.699463,0.000000,0.300000
1.500000,11,none,0.000000,0.500000,0.000000
1.800000,none,10,17.401218,0.000000,0.300000
2.500000,10,none,0.000000,0.500000,0.000000
3.200000,none,9,19.817664,0.000000,0.300000
3.800000,9,none,0.000000,0.500000,0.000000
5.800000,none,1,17.073282,0.000000,0.300000
6.200000,1,none,0.000000,0.500000,0.000000
6.500000,none,0,16.846286,0.000000,0.300000
6.600000,0,none,0.000000,0.500000,0.000000
9.200000,none,9,19.469997,0.000000,0.300000
9.900000,9,none,0.000000,0.500000,0.000000
11.700000,none,0,17.466852,0.000000,0.300000
12.400000,0,none,0.000000,0.500000,0.000000
13.500000,none,1,19.470389,0.000000,0.300000
13.600000,1,none,0.000000,0.500000,0.000000
14.000000,none,0,18.316604,0.000000,0.300000
14.200000,0,none,0.000000,0.500000,0.000000
14.900000,none,7,16.669996,0.000000,0.300000
15.000000,7,none,0.000000,0.500000,0.000000
15.400000,none,8,17.672030,0.000000,0.300000
15.600000,8,none,0.000000,0.500000,0.000000
17.000000,none,7,18.552367,0.000000,0.300000
18.000000,7,none,0.000000,0.500000,0.000000
18.100000,none,7,17.673809,0.000000,0.300000
18.600000,7,none,0.000000,0.500000,0.000000
19.600000,none,1,16.940993,0.000000,0.300000
20.000000,1,none,0.000000,0.500000,0.000000
20.400000,none,0,18.096559,0.000000,0.300000
21.700000,0,none,0.000000,0.500000,0.000000
22.400000,none,0,18.184723,0.000000,0.300000
22.900000,0,none,0.000000,0.500000,0.000000
24.400000,none,8,19.857470,0.000000,0.300000
24.800000,8,none,0.000000,0.500000,0.000000
25.500000,none,7,18.381940,0.000000,0.300000
25.600000,7,none,0.000000,0.500000,0.000000
26.500000,none,7,16.756370,0.000000,0.300000
26.600000,7,none,0.000000,0.500000,0.000000
27.700000,none,7,17.439678,0.000000,0.300000
28.100000,7,none,0.000000,0.500000,0.000000
30.100000,none,9,18.624699,0.000000,0.300000
31.900000,9,none,0.000000,0.500000,0.000000
32.400000,none,8,19.293183,0.000000,0.300000
33.000000,8,none,0.000000,0.500000,0.000000
33.600000,none,9,18.986793,0.000000,0.300000
34.400000,9,none,0.000000,0.500000,0.000000
37.000000,none,9,17.239379,0.000000,0.300000
37.100000,9,none,0.000000,0.500000,0.000000
37.500000,none,2,17.500012,0.000000,0.300000
37.600000,2,none,0.000000,0.500000,0.000000
38.300000,none,9,17.979501,0.000000,0.300000
38.600000,9,none,0.000000,0.500000,0.000000
39.000000,none,8,16.958464,0.000000,0.300000
39.200000,8,none,0.000000,0.500000,0.000000
41.800000,none,16,18.475653,0.000000,0.300000
42.300000,16,none,0.000000,0.500000,0.000000
44.000000,none,9,17.306992,0.000000,0.300000
44.100000,9,none,0.000000,0.500000,0.000000
44.300000,none,10,18.119079,0.000000,0.300000
44.900000,10,none,0.000000,0.500000,0.000000
45.600000,none,11,17.003163,0.000000,0.300000
45.800000,11,none,0.000000,0.500000,0.000000
46.700000,none,11,19.025509,0.000000,0.300000
47.500000,11,none,0.000000,0.500000,0.000000
47.600000,none,11,17.591342,0.000000,0.300000
48.500000,11,none,0.000000,0.500000,0.000000
50.100000,none,11,17.699272,0.000000,0.300000
50.800000,11,none,0.000000,0.500000,0.000000
51.300000,none,11,17.944630,0.000000,0.300000
51.800000,11,none,0.000000,0.500000,0.000000
52.400000,none,11,17.522668,0.000000,0.300000
53.200000,11,none,0.000000,0.500000,0.000000
54.400000,none,12,18.756077,0.000000,0.300000
55.100000,12,none,0.000000,0.500000,0.000000
55.900000,none,19,16.698472,0.000000,0.300000
56.000000,19,none,0.000000,0.500000,0.000000
56.100000,none,19,19.360340,0.000000,0.300000
57.100000,19,none,0.000000,0.500000,0.000000
57.700000,none,12,17.806075,0.000000,0.300000
58.200000,12,none,0.000000,0.500000,0.000000
59.100000,none,12,18.217287,0.000000,0.300000
59.500000,12,none,0.000000,0.500000,0.000000
60.300000,none,13,17.502227,0.000000,0.300000
61.100000,13,none,0.000000,0.500000,0.000000
63.300000,none,11,18.146757,0.000000,0.300000
63.900000,11,none,0.000000,0.500000,0.000000
64.900000,none,10,17.877735,0.000000,0.300000
65.300000,10,none,0.000000,0.500000,0.000000
65.900000,none,3,17.758379,0.000000,0.300000
66.300000,3,none,0.000000,0.500000,0.000000
67.500000,none,4,18.838801,0.000000,0.300000
68.000000,4,none,0.000000,0.500000,0.000000
70.100000,none,12,17.165991,0.000000,0.300000
70.800000,12,none,0.000000,0.500000,0.000000
71.500000,none,19,17.564557,0.000000,0.300000
72.200000,19,none,0.000000,0.500000,0.000000
72.500000,none,20,19.836807,0.000000,0.300000
72.700000,20,none,0.000000,0.500000,0.000000
73.400000,none,20,18.424165,0.000000,0.300000
73.600000,20,none,0.000000,0.500000,0.000000
74.600000,none,26,19.454975,0.000000,0.300000
75.100000,26,none,0.000000,0.500000,0.000000
76.500000,none,20,16.645375,0.000000,0.300000
76.600000,20,none,0.000000,0.500000,0.000000
77.400000,none,20,18.534398,0.000000,0.300000
78.100000,20,none,0.000000,0.500000,0.000000
78.500000,none,19,18.773959,0.000000,0.300000
79.200000,19,none,0.000000,0.500000,0.000000
80.000000,none,25,17.467722,0.000000,0.300000
80.500000,25,none,0.000000,0.500000,0.000000
82.500000,none,18,18.019283,0.000000,0.300000
82.800000,18,none,0.000000,0.500000,0.000000
84.400000,none,18,18.254701,0.000000,0.300000
84.600000,18,none,0.000000,0.500000,0.000000
84.900000,none,17,19.023281,0.000000,0.300000
85.500000,17,none,0.000000,0.500000,0.000000
86.100000,none,16,19.343953,0.000000,0.300000
87.000000,16,none,0.000000,0.500000,0.000000
87.100000,none,16,19.878571,0.000000,0.300000
87.800000,16,none,0.000000,0.500000,0.000000
88.700000,none,17,17.819766,0.000000,0.300000
89.400000,17,none,0.000000,0.500000,0.000000
91.600000,none,9,18.315653,0.000000,0.300000
92.500000,9,none,0.000000,0.500000,0.000000
95.000000,none,10,17.021992,0.000000,0.300000
95.500000,10,none,0.000000,0.500000,0.000000
97.200000,none,4,19.355990,0.000000,0.300000
98.000000,4,none,0.000000,0.500000,0.000000
98.800000,none,11,18.250528,0.000000,0.300000
