time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
1.000000,none,11,17.868400,0.000000,0.300000
2.400000,11,none,0.000000,0.500000,0.000000
3.200000,none,11,18.480966,0.000000,0.300000
4.200000,11,none,0.000000,0.500000,0.000000
4.600000,none,10,17.382372,0.000000,0.300000
5.300000,10,none,0.000000,0.500000,0.000000
5.600000,none,9,16.767743,0.000000,0.300000
6.200000,9,none,0.000000,0.500000,0.000000
6.500000,none,8,16.637789,0.000000,0.300000
6.600000,8,none,0.000000,0.500000,0.000000
7.300000,none,16,16.775370,0.000000,0.300000
7.800000,16,none,0.000000,0.500000,0.000000
8.300000,none,16,17.098835,0.000000,0.300000
8.900000,16,none,0.000000,0.500000,0.000000
9.200000,none,17,18.059183,0.000000,0.300000
9.900000,17,none,0.000000,0.500000,0.000000
10.300000,none,17,16.903439,0.000000,0.300000
10.400000,17,none,0.000000,0.500000,0.000000
11.600000,none,17,18.828393,0.000000,0.300000
12.200000,17,none,0.000000,0.500000,0.000000
12.900000,none,10,17.173068,0.000000,0.300000
13.000000,10,none,0.000000,0.500000,0.000000
13.100000,none,10,20.123707,0.000000,0.300000
14.200000,10,none,0.000000,0.500000,0.000000
16.400000,none,3,19.536456,0.000000,0.300000
16.900000,3,none,0.000000,0.500000,0.000000
19.900000,none,0,19.129670,0.000000,0.300000
20.500000,0,none,0.000000,0.500000,0.000000
20.600000,none,0,17.293722,0.000000,0.300000
21.400000,0,none,0.000000,0.500000,0.000000
22.300000,none,1,16.850026,0.000000,0.300000
22.900000,1,none,0.000000,0.500000,0.000000
24.300000,none,0,16.761513,0.000000,0.300000
25.100000,0,none,0.000000,0.500000,0.000000
26.000000,none,0,16.801242,0.000000,0.300000
26.900000,0,none,0.000000,0.500000,0.000000
28.100000,none,0,19.082998,0.000000,0.300000
28.700000,0,none,0.000000,0.500000,0.000000
29.300000,none,7,16.788507,0.000000,0.300000
30.000000,7,none,0.000000,0.500000,0.000000
30.100000,none,7,18.188206,0.000000,0.300000
30.900000,7,none,0.000000,0.500000,0.000000
31.200000,none,7,17.299461,0.000000,0.300000
32.000000,7,none,0.000000,0.500000,0.000000
32.900000,none,1,18.791002,0.000000,0.300000
33.500000,1,none,0.000000,0.500000,0.000000
33.800000,none,2,18.084099,0.000000,0.300000
34.500000,2,none,0.000000,0.500000,0.000000
34.800000,none,3,17.370179,0.000000,0.300000
35.300000,3,none,0.000000,0.500000,0.000000
37.300000,none,9,17.197590,0.000000,0.300000
37.800000,9,none,0.000000,0.500000,0.000000
38.300000,none,9,19.425957,0.000000,0.300000
39.000000,9,none,0.000000,0.500000,0.000000
40.200000,none,8,18.608594,0.000000,0.300000
40.800000,8,none,0.000000,0.500000,0.000000
41.700000,none,8,16.722777,0.000000,0.300000
41.800000,8,none,0.000000,0.500000,0.000000
42.500000,none,15,18.714875,0.000000,0.300000
42.600000,15,none,0.000000,0.500000,0.000000
47.700000,none,8,18.102843,0.000000,0.300000
49.200000,8,none,0.000000,0.500000,0.000000
50.700000,none,2,17.453497,0.000000,0.300000
51.400000,2,none,0.000000,0.500000,0.000000
54.500000,none,1,17.078374,0.000000,0.300000
54.600000,1,none,0.000000,0.500000,0.000000
54.900000,none,2,17.684205,0.000000,0.300000
55.500000,2,none,0.000000,0.500000,0.000000
55.800000,none,3,18.788974,0.000000,0.300000
56.500000,3,none,0.000000,0.500000,0.000000
56.600000,none,3,16.929704,0.000000,0.300000
57.000000,3,none,0.000000,0.500000,0.000000
58.000000,none,2,16.971620,0.000000,0.300000
58.100000,2,none,0.000000,0.500000,0.000000
58.500000,none,3,19.032688,0.000000,0.300000
58.700000,3,none,0.000000,0.500000,0.000000
60.800000,none,10,18.352017,0.000000,0.300000
61.200000,10,none,0.000000,0.500000,0.000000
62.900000,none,17,19.877551,0.000000,0.300000
63.300000,17,none,0.000000,0.500000,0.000000
64.200000,none,9,18.318192,0.000000,0.300000
64.600000,9,none,0.000000,0.500000,0.000000
65.900000,none,16,16.853685,0.000000,0.300000
66.200000,16,none,0.000000,0.500000,0.000000
67.700000,none,10,17.149105,0.000000,0.300000
69.100000,10,none,0.000000,0.500000,0.000000
70.900000,none,2,19.678401,0.000000,0.300000
71.500000,2,none,0.000000,0.500000,0.000000
73.200000,none,9,16.860812,0.000000,0.300000
73.800000,9,none,0.000000,0.500000,0.000000
74.800000,none,9,19.501877,0.000000,0.300000
75.300000,9,none,0.000000,0.500000,0.000000
77.300000,none,9,17.836780,0.000000,0.300000
77.900000,9,none,0.000000,0.500000,0.000000
78.200000,none,9,19.738929,0.000000,0.300000
79.000000,9,none,0.000000,0.500000,0.000000
79.900000,none,15,19.058916,0.000000,0.300000
80.400000,15,none,0.000000,0.500000,0.000000
80.800000,none,16,18.058881,0.000000,0.300000
81.300000,16,none,0.000000,0.500000,0.000000
84.500000,none,17,16.802371,0.000000,0.300000
85.000000,17,none,0.000000,0.500000,0.000000
85.400000,none,16,18.380205,0.000000,0.300000
85.800000,16,none,0.000000,0.500000,0.000000
87.900000,none,25,17.548994,0.000000,0.300000
88.300000,25,none,0.000000,0.500000,0.000000
91.300000,none,25,17.083624,0.000000,0.300000
91.800000,25,none,0.000000,0.500000,0.000000
92.300000,none,25,17.068595,0.000000,0.300000
92.800000,25,none,0.000000,0.500000,0.000000
93.300000,none,25,17.199343,0.000000,0.300000
94.100000,25,none,0.000000,0.500000,0.000000
94.400000,none,26,19.697066,0.000000,0.300000
94.700000,26,none,0.000000,0.500000,0.000000
95.000000,none,25,17.753713,0.000000,0.300000
95.400000,25,none,0.000000,0.500000,0.000000
96.800000,none,18,18.256565,0.000000,0.300000
97.500000,18,none,0.000000,0.500000,0.000000
97.600000,none,18,17.868521,0.000000,0.300000
98.000000,18,none,0.000000,0.500000,0.000000
98.700000,none,25,16.647292,0.000000,0.300000
99.000000,25,none,0.000000,0.500000,0.000000
99.100000,none,25,18.123915,0.000000,0.300000
99.700000,25,none,0.000000,0.500000,0.000000
101.400000,none,17,17.583592,0.000000,0.300000
102.600000,17,none,0.000000,0.500000,0.000000
105.800000,none,24,17.281659,0.000000,0.300000
106.200000,24,none,0.000000,0.500000,0.000000
107.300000,none,18,19.909242,0.000000,0.300000
107.800000,18,none,0.000000,0.500000,0.000000
108.000000,none,19,16.859412,0.000000,0.300000
108.200000,19,none,0.000000,0.500000,0.000000
109.300000,none,18,18.282818,0.000000,0.300000
109.700000,18,none,0.000000,0.500000,0.000000
111.400000,none,17,17.626716,0.000000,0.300000
112.700000,17,none,0.000000,0.500000,0.000000
113.400000,none,16,19.445161,0.000000,0.300000
113.900000,16,none,0.000000,0.500000,0.000000
114.200000,none,16,19.194317,0.000000,0.300000
114.800000,16,none,0.000000,0.500000,0.000000
115.500000,none,9,18.941392,0.000000,0.300000
115.900000,9,none,0.000000,0.500000,0.000000
116.200000,none,9,19.703843,0.000000,0.300000
116.900000,9,none,0.000000,0.500000,0.000000
118.900000,none,9,17.635896,0.000000,0.300000
119.400000,9,none,0.000000,0.500000,0.000000
