time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
0.000000,none,7,18.408425,0.000000,0.300000,0.002667
0.600000,7,none,0.000000,0.500000,0.000000,0.000000
2.200000,none,8,16.893577,0.000000,0.300000,0.002667
3.200000,8,none,0.000000,0.500000,0.000000,0.000000
4.900000,none,9,17.097471,0.000000,0.300000,0.002667
5.900000,9,none,0.000000,0.500000,0.000000,0.000000
7.500000,none,10,16.676213,0.000000,0.300000,0.002667
8.600000,10,none,0.000000,0.500000,0.000000,0.000000
10.200000,none,11,16.893577,0.000000,0.300000,0.002667
11.200000,11,none,0.000000,0.500000,0.000000,0.000000
12.900000,none,12,17.097471,0.000000,0.300000,0.002667
13.900000,12,none,0.000000,0.500000,0.000000,0.000000
15.500000,none,13,16.676213,0.000000,0.300000,0.002667
