time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps
0.000000,none,7,18.408425,0.000000,0.300000
0.100000,7,none,0.000000,0.500000,0.000000
0.300000,none,8,17.904753,0.000000,0.300000
0.400000,8,none,0.000000,0.500000,0.000000
0.700000,none,9,17.904753,0.000000,0.300000
0.800000,9,none,0.000000,0.500000,0.000000
1.000000,none,10,18.408425,0.000000,0.300000
1.100000,10,none,0.000000,0.500000,0.000000
1.300000,none,11,17.904753,0.000000,0.300000
1.400000,11,none,0.000000,0.500000,0.000000
1.700000,none,12,17.904753,0.000000,0.300000
1.800000,12,none,0.000000,0.500000,0.000000
2.000000,none,13,18.408425,0.000000,0.300000
