time_s,ue_x,ue_y,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,5.000000,8.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,4.956019,8.089809,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,4.912037,8.179618,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,4.868056,8.269427,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,4.824074,8.359235,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,4.780093,8.449044,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,4.736111,8.538853,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,4.692130,8.628662,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,4.648148,8.718471,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,4.604167,8.808280,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,4.560186,8.898089,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,4.516204,8.987898,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,4.472223,9.077706,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,4.428241,9.167515,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,4.384260,9.257324,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,4.340278,9.347133,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,4.434204,9.312811,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,4.528129,9.278489,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,4.622055,9.244168,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,4.715981,9.209846,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,4.809906,9.175524,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,4.903832,9.141202,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,4.997757,9.106880,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,5.091683,9.072559,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,5.185608,9.038237,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,5.279534,9.003915,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,5.373460,8.969593,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,5.467385,8.935271,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,5.561311,8.900950,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,5.655236,8.866628,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,5.749162,8.832306,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,5.649342,8.826313,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,5.549521,8.820319,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,5.449701,8.814326,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,5.349881,8.808333,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500000,5.250061,8.802339,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.600000,5.150241,8.796346,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.700000,5.050420,8.790353,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.800000,4.950600,8.784359,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.900000,4.850780,8.778366,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,4.750960,8.772373,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.100000,4.651139,8.766379,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.200000,4.551319,8.760386,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.300000,4.451499,8.754393,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.400000,4.351679,8.748399,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500000,4.251858,8.742406,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.600000,4.152585,8.754438,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.700000,4.053311,8.766470,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.800000,3.954038,8.778502,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.900000,3.854764,8.790534,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,3.755491,8.802566,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.100000,3.656217,8.814598,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.200000,3.556944,8.826630,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,3.457670,8.838662,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,3.358397,8.850694,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,3.259123,8.862726,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,3.159850,8.874758,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,3.060576,8.886789,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,2.961303,8.898821,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,2.862029,8.910853,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,2.762756,8.922885,2,0.000000,0.000000,16.835834,0.000000,0.000000,0.000000
6.100000,2.859997,8.899560,2,0.000000,0.000000,16.714123,0.000000,0.000000,0.000000
6.200000,2.957239,8.876235,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.300000,3.054481,8.852910,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
