time_s,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,3,0.000000,0.000000,0.000000,16.617703,0.000000,0.000000
1.700000,3,0.000000,0.000000,0.000000,16.817237,0.000000,0.000000
1.800000,3,0.000000,0.000000,0.000000,16.882485,0.000000,0.000000
1.900000,3,0.000000,0.000000,0.000000,16.812512,0.000000,0.000000
2.000000,3,0.000000,0.000000,0.000000,16.608320,0.000000,0.000000
2.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
