time_s,ue_x,ue_y,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,5.000000,8.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,4.523870,7.357116,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,4.169972,6.716703,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,4.671700,6.093591,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,5.222461,5.528471,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,5.920321,5.137331,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,6.656406,4.886037,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,7.456198,4.867820,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,8.236649,4.735509,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,8.997756,4.489104,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,9.661734,4.070067,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,9.732567,3.547451,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,9.797514,2.857169,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,9.913990,2.110998,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,9.620132,2.505637,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,9.046486,3.063248,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,8.470002,3.617925,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,8.017218,4.188903,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,8.430328,4.873987,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,8.550720,5.451925,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,7.792957,5.708429,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100000,7.541049,6.070862,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200000,8.132233,6.609843,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.300000,8.040049,6.781205,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400000,7.264496,6.584948,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500000,7.419782,6.737134,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600000,8.133572,7.098387,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700000,8.745646,6.774009,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800000,9.323813,6.221087,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900000,9.548520,5.468771,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,9.722732,4.687970,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100000,9.526612,4.964587,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
