time_s,ue_x,ue_y,serving_AP,SNR_AP0_dB,SNR_AP1_dB,SNR_AP2_dB,SNR_AP3_dB,SNR_AP4_dB,SNR_AP5_dB
0.000000,2.500000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,2.500000,0.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,2.500000,0.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,2.500000,0.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,2.500000,0.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,2.500000,0.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600000,2.500000,0.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700000,2.500000,0.700000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,2.500000,0.800000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900000,2.500000,0.900000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,2.500000,1.000000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100000,2.500000,1.100000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200000,2.500000,1.200000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300000,2.500000,1.300000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400000,2.500000,1.400000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500000,2.500000,1.500000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,2.500000,1.600000,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700000,2.500000,1.700000,0,16.743491,0.000000,0.000000,0.000000,0.000000,0.000000
1.800000,2.500000,1.800000,0,18.006334,0.000000,0.000000,0.000000,0.000000,0.000000
1.900000,2.500000,1.900000,0,19.181263,0.000000,0.000000,0.000000,0.000000,0.000000
