scenario,speed_mps,fov_deg,n_aps,mobility_model,hysteresis_dB,handover_count,ho_per_min,pingpong_count,pingpong_rate_pct,avg_snr_dB,min_snr_dB,max_snr_dB,avg_ber,avg_reff_active_Mbps,avg_reff_overall_Mbps,coverage_pct,disconnected_pct,t_connected_s,t_disconnected_s,avg_conn_session_s,avg_gap_session_s
Ref_WP_noHyst,1.000000,28.500000,6,Waypoint,0.000000,6,21.176471,0,0.000000,21.292326,16.743491,23.868833,1.155047e-13,0.300000,0.104118,34.705882,65.294118,5.900000,11.100000,1.966667,2.775000
Ref_WP_Hyst,1.000000,28.500000,6,Waypoint,3.000000,6,21.176471,0,0.000000,21.292326,16.743491,23.868833,1.155047e-13,0.300000,0.104118,34.705882,65.294118,5.900000,11.100000,1.966667,2.775000
Ref_WP_noHyst,3.000000,28.500000,6,Waypoint,0.000000,6,56.842105,0,0.000000,21.459195,17.173364,23.859192,1.351301e-14,0.300000,0.089062,29.687500,70.312500,1.880208,4.453125,0.633333,1.108333
Ref_WP_Hyst,3.000000,28.500000,6,Waypoint,3.000000,6,56.842105,0,0.000000,21.459195,17.173364,23.859192,1.351301e-14,0.300000,0.089062,29.687500,70.312500,1.880208,4.453125,0.633333,1.108333
Ref_WP_noHyst,8.000000,28.500000,6,Waypoint,0.000000,6,120.000000,0,0.000000,21.570223,18.800241,23.868833,4.345779e-19,0.300000,0.070000,23.333333,76.666667,0.700000,2.300000,0.233333,0.575000
Ref_WP_Hyst,8.000000,28.500000,6,Waypoint,3.000000,6,120.000000,0,0.000000,21.570223,18.800241,23.868833,4.345779e-19,0.300000,0.070000,23.333333,76.666667,0.700000,2.300000,0.233333,0.575000
Ref_RW_noHyst,1.000000,28.500000,6,RandomWalk2D,0.000000,18,9.000000,0,0.000000,20.025365,16.752672,23.784686,7.925020e-14,0.300000,0.030000,10.000000,90.000000,12.000000,108.000000,1.333333,10.800000
Ref_RW_Hyst,1.000000,28.500000,6,RandomWalk2D,3.000000,18,9.000000,0,0.000000,20.025365,16.752672,23.784686,7.925020e-14,0.300000,0.030000,10.000000,90.000000,12.000000,108.000000,1.333333,10.800000
Ref_RW_noHyst,3.000000,28.500000,6,RandomWalk2D,0.000000,60,30.000000,0,0.000000,19.883269,16.664437,23.696201,2.272067e-13,0.300000,0.032750,10.916667,89.083333,13.100000,106.900000,0.436667,3.448387
Ref_RW_Hyst,3.000000,28.500000,6,RandomWalk2D,3.000000,60,30.000000,0,0.000000,19.883269,16.664437,23.696201,2.272067e-13,0.300000,0.032750,10.916667,89.083333,13.100000,106.900000,0.436667,3.448387
Ref_RW_noHyst,8.000000,28.500000,6,RandomWalk2D,0.000000,126,63.000000,0,0.000000,20.052958,16.752672,23.862482,1.131371e-13,0.300000,0.034750,11.583333,88.416667,13.900000,106.100000,0.220635,1.657812
Ref_RW_Hyst,8.000000,28.500000,6,RandomWalk2D,3.000000,126,63.000000,0,0.000000,20.052958,16.752672,23.862482,1.131371e-13,0.300000,0.034750,11.583333,88.416667,13.900000,106.100000,0.220635,1.657812
S1_WP_noHyst,1.000000,45.000000,25,Waypoint,0.000000,7,24.705882,0,0.000000,14.869383,7.924709,18.408425,3.613330e-04,0.265563,0.265563,100.000000,0.000000,17.000000,0.000000,17.000000,0.000000
S1_WP_Hyst,1.000000,45.000000,25,Waypoint,3.000000,7,24.705882,0,0.000000,14.869383,7.924709,18.408425,3.613330e-04,0.265563,0.265563,100.000000,0.000000,17.000000,0.000000,17.000000,0.000000
S1_WP_noHyst,3.000000,45.000000,25,Waypoint,0.000000,7,66.315789,0,0.000000,15.265896,7.924709,18.408425,3.623638e-04,0.269443,0.269443,100.000000,0.000000,6.333333,0.000000,6.333333,0.000000
S1_WP_Hyst,3.000000,45.000000,25,Waypoint,3.000000,7,66.315789,0,0.000000,15.265896,7.924709,18.408425,3.623638e-04,0.269443,0.269443,100.000000,0.000000,6.333333,0.000000,6.333333,0.000000
